CM1.jpg,0,912,176,119,254
CM1.jpg,1,C,933,424,153,195
CM1.jpg,2,C,918,679,188,160
CM1.jpg,3,C,914,886,177,194
CM1.jpg,4,C,915,1156,136,285
CM1.jpg,5,C,914,1427,173,177
CM1.jpg,6,C,891,1675,188,177
CM1.jpg,7,C,878,1927,175,218
CM1.jpg,8,C,964,2222,95,311
CM1.jpg,9,C,856,2501,189,148
CM1.jpg,10,C,854,2736,189,140
CM1.jpg,11,C,1178,168,160,267
CM1.jpg,12,C,1175,452,166,221
CM1.jpg,13,C,1150,680,229,169
CM1.jpg,14,C,1142,897,169,211
CM1.jpg,15,C,1128,1178,140,287
CM1.jpg,16,C,1120,1446,182,187
CM1.jpg,17,C,1094,1687,188,147
CM1.jpg,18,C,1087,1925,167,203
CM1.jpg,19,C,1081,2218,109,284
CM1.jpg,20,C,1068,2496,182,186
CM1.jpg,21,C,1067,2739,188,159
CM1.jpg,22,C,1363,179,109,230
CM1.jpg,23,C,1381,466,153,221
CM1.jpg,24,C,1362,693,173,158
CM1.jpg,25,C,1343,916,169,191
CM1.jpg,26,C,1335,1187,127,294
CM1.jpg,27,C,1343,1496,176,186
CM1.jpg,28,C,1314,1741,216,144
CM1.jpg,29,C,1316,1942,180,200
CM1.jpg,30,C,1298,2237,140,300
CM1.jpg,31,C,1302,2521,173,172
CM1.jpg,32,C,1292,2742,194,147
